,City,Lat,Long,temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,butaritari,3.0707,172.7902,82.49,65,13,11.79,KI,1628439829
1,mataura,-46.1927,168.8643,34.48,99,99,3.6,NZ,1628440411
2,saint-joseph,-21.3667,55.6167,68.31,81,19,5.99,RE,1628440412
3,kaitangata,-46.2817,169.8464,34.32,93,78,8.52,NZ,1628439876
4,chahal,15.75,-89.5667,84.11,66,99,3.38,GT,1628440415
5,punta arenas,-53.15,-70.9167,42.91,70,75,24.16,CL,1628440372
6,mizan teferi,6.9833,35.5833,61.61,97,99,1.14,ET,1628440417
7,khatanga,71.9667,102.5,52.83,65,95,14.2,RU,1628439854
8,kandrian,-6.2167,149.55,76.48,91,100,6.96,PG,1628440419
9,chapais,49.7834,-74.8492,65.98,33,26,6.76,CA,1628439969
10,balkanabat,39.5108,54.3671,102.76,9,0,8.77,TM,1628439826
11,vichuga,57.2128,41.9301,72.21,59,100,6.46,RU,1628440423
12,mahebourg,-20.4081,57.7,68.29,100,75,5.75,MU,1628439835
13,rikitea,-23.1203,-134.9692,74.44,74,38,11.54,PF,1628440426
14,vera cruz,-12.6333,-41.0333,78.37,49,90,6.82,BR,1628440427
15,kapaa,22.0752,-159.319,74.46,64,75,11.5,US,1628440428
16,kozluk,38.1938,41.4885,84.45,20,27,7.25,TR,1628440430
17,tuktoyaktuk,69.4541,-133.0374,46.4,87,90,12.66,CA,1628440431
18,avarua,-21.2078,-159.775,73.45,68,90,4.61,CK,1628439854
19,klaksvik,62.2266,-6.589,54.52,92,85,9.62,FO,1628440433
20,port alfred,-33.5906,26.891,66.11,59,61,16.71,ZA,1628440435
21,bluff,-46.6,168.3333,34.81,64,64,15.77,NZ,1628440423
22,asau,46.4333,26.4,79.72,62,14,0.51,RO,1628440437
23,ipora,-16.4419,-51.1178,87.53,21,0,5.84,BR,1628440439
24,cagliliog,13.9016,123.2913,81.32,81,98,8.9,PH,1628440440
25,marsh harbour,26.5412,-77.0636,84.0,70,13,8.34,BS,1628440441
26,atuona,-9.8,-139.0333,77.22,81,86,18.41,PF,1628440444
27,vestmannaeyjar,63.4427,-20.2734,59.99,67,0,14.97,IS,1628440445
28,kununurra,-15.7667,128.7333,55.38,67,3,0.0,AU,1628440352
29,esperance,-33.8667,121.9,62.44,77,8,14.74,AU,1628440448
30,bako,5.7833,36.5667,68.94,63,96,3.13,ET,1628440450
31,puerto madryn,-42.7692,-65.0385,53.1,34,0,6.11,AR,1628440452
32,half moon bay,37.4636,-122.4286,63.46,85,90,1.01,US,1628440212
33,mwinilunga,-11.7358,24.4293,69.15,24,22,5.79,ZM,1628440454
34,kineshma,57.4391,42.1289,71.46,61,100,5.53,RU,1628440455
35,mount isa,-20.7333,139.5,47.97,49,0,0.0,AU,1628440457
36,carnarvon,-24.8667,113.6333,66.27,80,0,6.91,AU,1628439600
37,tamandare,-8.7597,-35.1047,77.31,73,69,11.32,BR,1628440459
38,dikson,73.5069,80.5464,48.34,73,2,3.51,RU,1628440460
39,ushuaia,-54.8,-68.3,42.46,61,75,12.66,AR,1628440462
40,chuy,-33.6971,-53.4616,70.05,70,83,4.16,UY,1628439890
41,hilo,19.7297,-155.09,70.03,91,61,1.99,US,1628440464
42,barrow,71.2906,-156.7887,37.42,93,90,10.36,US,1628440268
43,jamestown,42.097,-79.2353,77.68,68,20,3.0,US,1628440219
44,cidreira,-30.1811,-50.2056,66.72,72,3,8.55,BR,1628440469
45,saint-michel-des-saints,46.6834,-73.9159,77.22,44,30,3.22,CA,1628440470
46,ambon,-3.6954,128.1814,75.34,100,40,6.91,ID,1628440410
47,kahului,20.8947,-156.47,71.74,81,40,12.66,US,1628439900
48,albany,42.6001,-73.9662,81.01,66,91,2.53,US,1628440474
49,bredasdorp,-34.5322,20.0403,60.12,55,100,18.41,ZA,1628440475
50,dingzhou,38.5131,114.9956,73.51,92,98,4.81,CN,1628440476
51,conakry,9.538,-13.6773,86.07,70,40,13.8,GN,1628440411
52,busselton,-33.65,115.3333,56.05,85,38,23.55,AU,1628440479
53,ponta do sol,32.6667,-17.1,73.92,77,64,2.77,PT,1628440480
54,hambantota,6.1241,81.1185,78.84,82,52,16.42,LK,1628440482
55,salalah,17.0151,54.0924,78.89,89,90,5.75,OM,1628439816
56,nara,34.6851,135.8049,83.48,75,100,5.28,JP,1628440485
57,tirunelveli,8.7333,77.7,82.78,67,90,10.65,IN,1628440486
58,neuquen,-38.9516,-68.0591,49.89,43,0,4.61,AR,1628440240
59,mar del plata,-38.0023,-57.5575,50.02,66,0,11.5,AR,1628440465
60,craig,40.5153,-107.5464,69.24,32,1,9.22,US,1628440491
61,korsakov,46.6328,142.7813,57.04,90,100,18.75,RU,1628440492
62,cape town,-33.9258,18.4232,59.56,78,75,5.01,ZA,1628440248
63,touros,-5.1989,-35.4608,81.5,65,50,19.95,BR,1628440496
64,vila velha,-20.3297,-40.2925,71.55,73,75,9.22,BR,1628440287
65,pisco,-13.7,-76.2167,62.65,77,90,2.3,PE,1628440372
66,barcelos,41.5388,-8.6151,72.81,56,20,11.63,PT,1628440423
67,dedougou,12.4667,-3.4667,89.15,50,97,5.99,BF,1628440503
68,loukhi,66.0764,33.0381,61.27,59,97,10.45,RU,1628439930
69,pingliang,35.5392,106.6861,69.28,56,50,8.21,CN,1628440505
70,tasiilaq,65.6145,-37.6368,44.76,96,100,19.13,GL,1628440415
71,taseyevo,57.2169,94.8978,60.8,83,64,2.57,RU,1628440510
72,rocha,-34.4833,-54.3333,59.83,89,97,10.42,UY,1628440302
73,georgetown,5.4112,100.3354,82.6,84,40,3.44,MY,1628440247
74,east london,-33.0153,27.9116,76.14,20,0,5.75,ZA,1628440514
75,matara,5.9485,80.5353,76.78,92,72,9.6,LK,1628440406
76,isangel,-19.55,169.2667,69.03,74,83,10.31,VU,1628439965
77,sri aman,1.2376,111.4621,73.45,94,100,3.44,MY,1628440517
78,ha giang,22.8333,104.9833,80.51,96,100,1.7,VN,1628440515
79,new norfolk,-42.7826,147.0587,43.03,82,12,2.98,AU,1628440516
80,atambua,-9.1061,124.8925,67.91,85,30,4.16,ID,1628440521
81,san lorenzo,-25.3333,-57.5333,86.94,35,0,11.5,PY,1628440420
82,banjar,-8.19,114.9675,78.66,89,64,3.74,ID,1628440523
83,narsaq,60.9167,-46.05,50.22,62,15,11.41,GL,1628440525
84,bethel,41.3712,-73.414,73.96,72,1,6.91,US,1628440526
85,paracatu,-17.2222,-46.8747,79.52,27,0,7.7,BR,1628440527
86,kodiak,57.79,-152.4072,54.91,94,90,0.0,US,1628440528
87,nanortalik,60.1432,-45.2371,44.38,85,39,12.73,GL,1628440443
88,hobart,-42.8794,147.3294,43.9,83,10,3.0,AU,1628440306
89,tirodi,21.6833,79.7,78.13,87,100,3.29,IN,1628440532
90,camopi,3.1655,-52.3158,91.09,44,39,5.12,GF,1628440269
91,puerto ayora,-0.7393,-90.3518,71.55,84,37,8.01,EC,1628440274
92,bousse,12.6606,-1.8922,90.97,45,100,8.37,BF,1628440537
93,torbay,47.6666,-52.7314,76.1,77,75,14.97,CA,1628440532
94,miguel auza,24.2933,-103.4503,73.38,45,5,9.62,MX,1628440539
95,kidal,18.4411,1.4078,96.8,33,82,16.31,ML,1628440541
96,nowy sacz,49.6218,20.6971,74.75,80,87,2.66,PL,1628440542
97,nelson bay,-32.7167,152.15,56.19,72,99,9.84,AU,1628440364
98,saint george,37.1041,-113.5841,83.12,21,1,0.0,US,1628440262
99,mana,5.6592,-53.7767,85.06,67,36,5.57,GF,1628440547
100,bahia de caraquez,-0.6,-80.4167,75.38,74,93,7.61,EC,1628440548
101,pinawa,50.1489,-95.8811,81.9,49,32,9.46,CA,1628440549
102,kruisfontein,-34.0033,24.7314,62.89,81,89,11.54,ZA,1628440456
103,bengkulu,-3.8004,102.2655,76.87,92,52,4.09,ID,1628440465
104,qaanaaq,77.484,-69.3632,39.42,67,37,2.89,GL,1628440545
105,funadhoo,6.15,73.2667,81.72,72,100,16.64,MV,1628440554
106,sinnamary,5.3833,-52.95,86.63,64,58,12.39,GF,1628440555
107,port macquarie,-31.4333,152.9167,51.76,64,97,2.3,AU,1628440292
108,flin flon,54.7682,-101.865,62.44,88,90,4.61,CA,1628440558
109,lompoc,34.6391,-120.4579,61.88,90,90,0.0,US,1628440348
110,luderitz,-26.6481,15.1594,57.96,79,69,6.82,NA,1628440535
111,rawson,-43.3002,-65.1023,51.96,38,0,7.34,AR,1628440338
112,la ronge,55.1001,-105.2842,61.05,82,75,5.75,CA,1628440349
113,trairi,-3.2778,-39.2689,86.02,54,2,17.94,BR,1628440227
114,cabo san lucas,22.8909,-109.9124,88.65,65,1,4.0,MX,1628440566
115,central point,42.376,-122.9164,68.63,64,1,3.0,US,1628440567
116,otwock,52.1058,21.2613,75.31,59,67,3.78,PL,1628440418
117,ahipara,-35.1667,173.1667,49.15,70,99,21.3,NZ,1628440570
118,schweinfurt,50.05,10.2333,65.68,70,78,9.1,DE,1628440571
119,general pico,-35.6566,-63.7568,45.86,70,99,13.13,AR,1628440574
120,mehamn,71.0357,27.8492,73.35,38,0,10.36,NO,1628440575
121,viedma,-40.8135,-62.9967,55.6,33,59,13.47,AR,1628440457
122,kralendijk,12.15,-68.2667,87.78,62,40,10.36,BQ,1628439986
123,paragominas,-2.9667,-47.4833,93.85,31,7,6.55,BR,1628440579
124,hanting,36.7708,119.2108,71.92,73,37,2.53,CN,1628440580
125,terenos,-20.4422,-54.8603,89.31,27,40,9.22,BR,1628440581
